tourney_id,tourney_name,surface,drap1_size,tourney_level,tourney_date,match_num,p1_id,p1_name,p1_hand,p1_ioc,p1_age,p1_rank,p1_rank_points,p2_id,p2_name,p2_hand,p2_ioc,p2_age,p2_rank,p2_rank_points,p1_win_prob_20w,p1_ace_prob_20w,p1_df_prob_20w,p1_svptWon_prob_20w,p2_win_prob_20w,p2_ace_prob_20w,p2_df_prob_20w,p2_svptWon_prob_20w,p1_surface_win_prob_20w,p2_surface_win_prob_20w,p1_win,diff_points
2016-0451,Doha,Hard,32.0,A,20160104.0,279.0,106378.0,Kyle Edmund,R,GBR,20.98836413,102.0,568.0,105373.0,Martin Klizan,L,SVK,26.48323066,43.0,980.0,,,,,,,,,,,0,2
2016-M020,Brisbane,Hard,32.0,A,20160104.0,280.0,105032.0,Samuel Groth,R,AUS,28.21081451,60.0,782.0,111202.0,Hyeon Chung,R,KOR,19.62765229,51.0,817.0,,,,,,,,,,,0,4
2016-0891,Chennai,Hard,32.0,A,20160104.0,280.0,104586.0,Lukas Rosol,R,CZE,30.4476386,55.0,797.0,105053.0,Santiago Giraldo,R,COL,28.10403833,70.0,716.0,,,,,,,,,,,1,2
2016-0451,Doha,Hard,32.0,A,20160104.0,280.0,106000.0,Damir Dzumhur,R,BIH,23.62491444,82.0,649.0,106065.0,Marco Cecchinato,R,ITA,23.26078029,90.0,618.0,,,,,,,,,,,1,8
2016-0451,Doha,Hard,32.0,A,20160104.0,281.0,104607.0,Tomas Berdych,R,CZE,30.29705681,6.0,4620.0,104660.0,Sergiy Stakhovsky,R,UKR,29.99315537,62.0,780.0,,,,,,,,,,,1,4
2016-M020,Brisbane,Hard,32.0,A,20160104.0,282.0,104468.0,Gilles Simon,R,FRA,31.01984942,15.0,2145.0,105777.0,Grigor Dimitrov,R,BUL,24.63791923,28.0,1360.0,,,,,,,,,,,0,0
2016-0891,Chennai,Hard,32.0,A,20160104.0,282.0,104198.0,Guillermo Garcia Lopez,R,ESP,32.58590007,27.0,1430.0,106121.0,Taro Daniel,R,JPN,22.93497604,96.0,603.0,,,,,,,,,,,1,7
2016-0451,Doha,Hard,32.0,A,20160104.0,282.0,104919.0,Leonardo Mayer,R,ARG,28.64065708,35.0,1150.0,103794.0,Benjamin Becker,R,GER,34.55167693,97.0,591.0,,,,,,,,,,,1,18
2016-M020,Brisbane,Hard,32.0,A,20160104.0,283.0,104678.0,Viktor Troicki,R,SRB,29.897330600000004,22.0,1487.0,105449.0,Steve Johnson,R,USA,26.02874743,32.0,1240.0,,,,,,,,,,,1,8
2016-0891,Chennai,Hard,32.0,A,20160104.0,283.0,105302.0,Ante Pavic,R,CRO,26.82819986,449.0,90.0,104597.0,Nicolas Almagro,R,ESP,30.37097878,73.0,694.0,,,,,,,,,,,0,10
2016-0451,Doha,Hard,32.0,A,20160104.0,283.0,103893.0,Paolo Lorenzi,R,ITA,34.05338809,68.0,725.0,104665.0,Pablo Andujar,R,ESP,29.94661191,64.0,770.0,,,,,,,,,,,0,4
2016-M020,Brisbane,Hard,32.0,A,20160104.0,284.0,104735.0,Tobias Kamke,R,GER,29.62354552,277.0,185.0,106093.0,Benjamin Mitchell,R,AUS,23.09377139,231.0,225.0,,,,,,,,,,,0,5
2016-0891,Chennai,Hard,32.0,A,20160104.0,284.0,126094.0,Andrey Rublev,R,RUS,18.20670773,185.0,270.0,104500.0,Somdev Devvarman,R,IND,30.88843258,177.0,284.0,,,,,,,,,,,0,2
2016-0451,Doha,Hard,32.0,A,20160104.0,284.0,104269.0,Fernando Verdasco,L,ESP,32.13689254,49.0,900.0,104291.0,Malek Jaziri,R,TUN,31.95619439,103.0,566.0,,,,,,,,,,,1,1
2016-0451,Doha,Hard,32.0,A,20160104.0,285.0,104925.0,Novak Djokovic,R,SRB,28.62149213,1.0,16585.0,104460.0,Dustin Brown,R,GER,31.07186858,118.0,493.0,,,,,,,,,,,1,5
2016-M020,Brisbane,Hard,32.0,A,20160104.0,286.0,105453.0,Kei Nishikori,R,JPN,26.01505818,8.0,4235.0,105062.0,Mikhail Kukushkin,R,KAZ,28.02464066,65.0,762.0,,,,,1.0,0.014925373134328358,0.04477611940298507,0.7014925373134329,,1.0,1,6
2016-0891,Chennai,Hard,32.0,A,20160104.0,286.0,104628.0,Alexander Kudryavtsev,R,RUS,30.19028063,164.0,321.0,106368.0,Ramkumar Ramanathan,R,IND,21.15537303,248.0,209.0,,,,,0.0,0.08571428571428572,0.0,0.8,,0.0,0,2
2016-0451,Doha,Hard,32.0,A,20160104.0,286.0,104745.0,Rafael Nadal,L,ESP,29.58795346,5.0,5230.0,104898.0,Robin Haase,R,NED,28.74743326,66.0,740.0,1.0,0.0625,0.0125,0.7125,1.0,0.0392156862745098,0.00980392156862745,0.6176470588235294,1.0,1.0,1,9
